,Selling_Price
190,3.15
134,0.48
48,3.6
171,0.15
33,6.0
197,5.11
35,2.95
192,4.5
270,4.0
29,7.45
0,3.35
181,7.9
120,0.6
102,0.9
67,5.9
88,1.15
28,1.95
16,7.25
185,11.25
158,0.27
78,1.65
117,0.6
95,1.05
47,7.75
226,7.2
91,1.11
108,0.75
40,1.95
119,0.6
161,0.25
69,4.75
127,0.5
150,0.38
66,12.5
202,3.1
262,10.11
268,8.55
59,7.45
169,0.18
167,0.2
173,0.1
164,0.2
232,3.9
213,5.35
14,2.25
177,2.75
184,11.75
193,3.5
152,0.35
147,0.4
21,4.9
89,1.15
56,4.35
246,2.25
55,9.25
249,8.65
138,0.45
84,1.2
53,4.5
142,0.45
114,0.6
269,9.5
118,0.6
163,0.25
212,2.0
54,4.75
230,8.5
267,3.75
260,5.75
154,0.35
98,1.05
180,5.15
130,0.5
97,1.05
257,3.5
82,1.35
256,8.99
94,1.1
140,0.45
148,0.4
250,9.7
207,5.5
81,1.35
124,0.52
187,5.25
188,4.5
13,6.1
253,5.25
194,4.5
45,1.05
168,0.2
103,0.75
36,4.65
231,8.4
20,2.85
221,4.0
170,0.16
75,9.65
176,2.95
248,10.9
227,5.25
220,5.95
2,7.25
218,5.2
6,6.75
242,6.7
224,5.0
77,1.7
113,0.65
65,4.75
151,0.38
160,0.25
46,5.8
74,7.05
92,1.1
240,8.35
87,1.15
143,0.42
199,5.25
10,2.85
162,0.25
32,4.95
136,0.45
166,0.2
83,1.25
225,5.4
165,0.2
155,0.3
100,0.95
125,0.51
23,2.5
126,0.5
195,6.0
9,7.45
245,7.5
104,0.8
153,0.35
219,3.75
135,0.45
111,0.65
25,3.0
223,12.9
64,5.25
15,7.75
210,11.25
41,5.5
236,6.6
109,0.72
80,1.35
52,6.95
26,4.15
76,1.75
43,7.5
24,2.9
196,8.25
3,2.85
244,3.0
49,4.5
149,0.4
198,2.7
131,0.48
265,6.4
30,3.1
200,2.55
121,0.6
234,5.5
175,4.4
115,0.6
251,6.0
216,6.25
8,8.75
209,3.1
60,2.65
128,0.5
1,4.75
57,3.95
22,4.4
61,4.9
63,5.5
7,6.5
137,0.45
233,9.15
141,0.45
86,1.2
96,1.05
222,5.25
247,5.3
241,4.8
215,4.4
68,3.45
50,4.75
156,0.3
252,6.25
254,2.1
178,5.25
237,4.0
71,11.25
129,0.5
144,0.42
133,0.48
203,6.15
255,8.25
72,4.0
235,4.0
37,3.0
